chave,lat,lon,metodo,extra
BRASILAPI 26600000,,,BrasilAPI,"Paracambi,RJ"
BRASILAPI 83280000,,,BrasilAPI,"Guaratuba,PR"
BRASILAPI 04115090,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 51160210,,,BrasilAPI,"Recife,PE"
BRASILAPI 78075210,,,BrasilAPI,"Cuiabá,MT"
BRASILAPI 55520000,,,BrasilAPI,"Ribeirão,PE"
BRASILAPI 62042120,,,BrasilAPI,"Sobral,CE"
BRASILAPI 75955000,,,BrasilAPI,"Indiara,GO"
BRASILAPI 88117400,,,BrasilAPI,"São José,SC"
BRASILAPI 58064015,,,BrasilAPI,"João Pessoa,PB"
BRASILAPI 04533013,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 17010230,,,BrasilAPI,"Bauru,SP"
BRASILAPI 32250000,,,BrasilAPI,"Contagem,MG"
BRASILAPI 55125000,,,BrasilAPI,"Toritama,PE"
BRASILAPI 93315138,,,BrasilAPI,"Novo Hamburgo,RS"
BRASILAPI 09771210,,,BrasilAPI,"São Bernardo do Campo,SP"
BRASILAPI 72445000,,,BrasilAPI,"Brasília,DF"
BRASILAPI 70276400,,,BrasilAPI,"Brasília,DF"
BRASILAPI 70310660,,,BrasilAPI_None,
BRASILAPI 71219900,,,BrasilAPI,"Brasília,DF"
BRASILAPI 68600000,,,BrasilAPI,"Bragança,PA"
CITY_CENTER MATA DE SÃO JOÃO BA BRAZIL,-12.530685,-38.300898,CityCenter,"MATA DE SÃO JOÃO, BA, Brazil"
BRASILAPI 41740460,,,BrasilAPI,"Salvador,BA"
CITY_CENTER SALVADOR BA BRAZIL,-12.9822499,-38.4812772,CityCenter,"SALVADOR, BA, Brazil"
CITY_CENTER SÃO PAULO SP BRAZIL,-23.5506507,-46.6333824,CityCenter,"SÃO PAULO, SP, Brazil"
CITY_CENTER SIMÕES FILHO BA BRAZIL,-12.7867839,-38.4030365,CityCenter,"SIMÕES FILHO, BA, Brazil"
BRASILAPI 71608900,,,BrasilAPI,"Brasília,DF"
CITY_CENTER BRASÍLIA DF BRAZIL,-15.7939869,-47.8828,CityCenter,"BRASÍLIA, DF, Brazil"
BRASILAPI 22631004,,,BrasilAPI,"Rio de Janeiro,RJ"
CITY_CENTER RIO DE JANEIRO RJ BRAZIL,-22.9110137,-43.2093727,CityCenter,"RIO DE JANEIRO, RJ, Brazil"
BRASILAPI 50741904,,,BrasilAPI,"Recife,PE"
CITY_CENTER RECIFE PE BRAZIL,-8.0584933,-34.8848193,CityCenter,"RECIFE, PE, Brazil"
CITY_CENTER BARUERI SP BRAZIL,-23.5112184,-46.8764612,CityCenter,"BARUERI, SP, Brazil"
CITY_CENTER NOVA LIMA MG BRAZIL,-19.9854089,-43.8470691,CityCenter,"NOVA LIMA, MG, Brazil"
BRASILAPI 41820790,,,BrasilAPI,"Salvador,BA"
BRASILAPI 57035690,,,BrasilAPI,"Maceió,AL"
CITY_CENTER MACEIÓ AL BRAZIL,-9.6476843,-35.7339264,CityCenter,"MACEIÓ, AL, Brazil"
CITY_CENTER BEBEDOURO SP BRAZIL,-20.949077,-48.479083,CityCenter,"BEBEDOURO, SP, Brazil"
CITY_CENTER CAMAÇARI BA BRAZIL,-12.6998188,-38.3260762,CityCenter,"CAMAÇARI, BA, Brazil"
BRASILAPI 41600100,,,BrasilAPI,"Salvador,BA"
BRASILAPI 32310000,,,BrasilAPI,"Contagem,MG"
CITY_CENTER CONTAGEM MG BRAZIL,-19.9132749,-44.0840953,CityCenter,"CONTAGEM, MG, Brazil"
CITY_CENTER SÃO FRANCISCO DO SUL SC BRAZIL,-26.2495087,-48.6308087,CityCenter,"SÃO FRANCISCO DO SUL, SC, Brazil"
BRASILAPI 61935180,,,BrasilAPI,"Maracanaú,CE"
CITY_CENTER MARACANAÚ CE BRAZIL,-3.8779438,-38.6247697,CityCenter,"MARACANAÚ, CE, Brazil"
CITY_CENTER TELÊMACO BORBA PR BRAZIL,-24.3282939,-50.6318021,CityCenter,"TELÊMACO BORBA, PR, Brazil"
BRASILAPI 65058324,,,BrasilAPI,"São Luís,MA"
CITY_CENTER SÃO LUÍS MA BRAZIL,-2.5295265,-44.2963942,CityCenter,"SÃO LUÍS, MA, Brazil"
BRASILAPI 62810000,,,BrasilAPI,"Icapuí,CE"
CITY_CENTER ICAPUÍ CE BRAZIL,-4.7158474,-37.3535365,CityCenter,"ICAPUÍ, CE, Brazil"
BRASILAPI 40170110,,,BrasilAPI,"Salvador,BA"
BRASILAPI 41701015,,,BrasilAPI,"Salvador,BA"
BRASILAPI 45600934,,,BrasilAPI_None,
CITY_CENTER ITABUNA BA BRAZIL,-14.793173,-39.2750341,CityCenter,"ITABUNA, BA, Brazil"
BRASILAPI 29050911,,,BrasilAPI,"Vitória,ES"
CITY_CENTER VITÓRIA ES BRAZIL,-20.3200917,-40.3376682,CityCenter,"VITÓRIA, ES, Brazil"
BRASILAPI 53444360,,,BrasilAPI,"Paulista,PE"
